"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"10","61.91263916222402","69.42480310914021","0.00732421875","0.005859375","0.00537109375","1560","0.00038057853290759524","24","0.00038057853290759524","0","0.00038057853290759524","0.00038057853290759524","9:68;11:68","9:0.0016488010776911366;11:0.009900636598783596","9:0.001640077250469274;11:0.0096654902032626","0.00732421875","Yes"
"11","32.23853765747929","10.264634187841384","0.0447998046875","0.063232421875","0.0263671875","1560","0.0021003825204093927","24","0.0021003825204093927","0","0.0021003825204093927","0.0021003825204093927","18:68;10:68;12:68","18:0.013856373659601157;10:0.009900636598783596;12:0.008909968706063642","18:0.01580310161031817;10:0.0096654902032626;12:0.009373224336303554","0.0447998046875","Yes"
"12","72.02297047902762","77.19995837402583","0.021728515625","0.0302734375","0.01318359375","1560","0.0002830108850893002","24","0.0002830108850893002","0","0.0002830108850893002","0.0002830108850893002","13:68;11:68","13:0.00489262890061351;11:0.008909968706063642","13:0.003403238226622307;11:0.009373224336303554","0.021728515625","Yes"
"13","348.333883707999","175.8434039116215","0.0194091796875","0.017578125","0.021240234375","1560","0.0002851673653025878","24","0.0002851673653025878","0","0.0002851673653025878","0.0002851673653025878","12:68;14:68","12:0.00489262890061351;14:0.0033067399399344666","12:0.003403238226622307;14:0.0015281629732160074","0.0194091796875","Yes"
"14","212.088009455585","68.2694259475144","0.006591796875","0.00830078125","0.0048828125","1560","0.00022414178290539597","24","0.00022414178290539597","0","0.00022414178290539597","0.00022414178290539597","15:68;13:68","15:0.003160042186794526;13:0.0033067399399344666","15:0.0015448019564076043;13:0.0015281629732160074","0.006591796875","Yes"
"15","354.12720624346167","201.4418955816154","0.0191650390625","0.02392578125","0.014404296875","1560","0.00015447061880573214","24","0.00015447061880573214","0","0.00015447061880573214","0.00015447061880573214","14:68;19:68","14:0.003160042186794526;19:0.0023774294243859018","14:0.0015448019564076043;19:0.0019184293467992553","0.0191650390625","Yes"
"16","84.93910056070355","50.57466379704838","0.0089111328125","0.015625","0.002197265625","1560","0.0003236319739572278","24","0.0003236319739572278","0","0.0003236319739572278","0.0003236319739572278","23:68;3:68","23:0.0026460914312792794;3:0.0019341745855182557","23:0.002343484636875476;3:0.0015557544183250893","0.0089111328125","Yes"
"17","117.86312754232969","92.72684871481647","0.0167236328125","0.018310546875","0.01513671875","1560","0.0001909760051326397","24","0.0001909760051326397","0","0.0001909760051326397","0.0001909760051326397","7:68;27:68","7:0.0030900221850013454;27:0.02304260659682894","7:0.0034894218056315818;27:0.035762692941195995","0.0167236328125","Yes"
"18","103.57480235447103","61.808623518153354","0.004638671875","0.007080078125","0.002197265625","1560","0.00034614093966730045","24","0.00034614093966730045","0","0.00034614093966730045","0.00034614093966730045","11:68;31:68","11:0.013856373659601157;31:0.0029638880008872326","11:0.01580310161031817;31:0.002931309344756161","0.004638671875","Yes"
"19","226.19751220736248","182.34908068158322","0.0072021484375","0.01171875","0.002685546875","1560","0.0008031229590341163","24","0.0008031229590341163","0","0.0008031229590341163","0.0008031229590341163","35:68;15:68","35:0.0018280191538831148;15:0.0023774294243859018","35:0.0012963164363336;15:0.0019184293467992553","0.0072021484375","Yes"
"20","92.09246876476725","100.08454429106271","0.013427734375","0.01806640625","0.0087890625","1560","0.0004882126350858642","24","0.0004882126350858642","0","0.0004882126350858642","0.0004882126350858642","21:68","21:0.004783786989294908","21:0.004072956395612837","0.013427734375","Yes"
"21","171.7499503129755","139.65844720094768","0.0101318359375","0.01611328125","0.004150390625","1560","0.0002062667883243883","24","0.0002062667883243883","0","0.0002062667883243883","0.0002062667883243883","36:68;20:68;22:68","36:0.006290391019904695;20:0.004783786989294908;22:0.0038178721316747544","36:0.004239009958532325;20:0.004072956395612837;22:0.0021086367056954713","0.0101318359375","Yes"
"22","176.73472470914965","144.033259257673","0.0250244140625","0.04150390625","0.008544921875","1560","0.00016754145312225597","24","0.00016754145312225597","0","0.00016754145312225597","0.00016754145312225597","23:68;21:68","23:0.002030472247787185;21:0.0038178721316747544","23:0.0018686870294705449;21:0.0021086367056954713","0.0250244140625","Yes"
"23","255.79823201483404","210.71034032161737","0.0050048828125","0.008544921875","0.00146484375","1560","0.00023666533077193062","24","0.00023666533077193062","0","0.00023666533077193062","0.00023666533077193062","22:68;24:68;16:68","22:0.002030472247787185;24:0.004801914794248463;16:0.0026460914312792794","22:0.0018686870294705449;24:0.004335570163322144;16:0.002343484636875476","0.0050048828125","Yes"
"24","153.05690692314008","163.2927636419799","0.0184326171875","0.019775390625","0.01708984375","1560","0.0013868385557660261","24","0.0013868385557660261","0","0.0013868385557660261","0.0013868385557660261","23:68;25:68","23:0.004801914794248463;25:0.019210297484070743","23:0.004335570163322144;25:0.01666314116028103","0.0184326171875","Yes"
"25","211.70107823039544","130.47683749948905","0.0244140625","0.026611328125","0.022216796875","1560","0.0001520947605795416","24","0.0001520947605795416","0","0.0001520947605795416","0.0001520947605795416","24:68;26:68;37:68","24:0.019210297484070743;26:0.002320413700698326;37:0.0018379554778954477","24:0.01666314116028103;26:0.0019653529190754304;37:0.0015463355107724341","0.0244140625","Yes"
"26","171.1865569455021","116.4834138044532","0.014404296875","0.02099609375","0.0078125","1560","0.00029371222409050365","24","0.00029371222409050365","0","0.00029371222409050365","0.00029371222409050365","25:68;27:68","25:0.002320413700698326;27:0.02943644987880284","25:0.0019653529190754304;27:0.02929073668040047","0.014404296875","Yes"
"27","113.77657153199578","118.44645579247297","0.01806640625","0.03369140625","0.00927734375","1560","0.004490066172912804","24","0.004490066172912804","0","0.004490066172912804","0.004490066172912804","26:68;28:68;17:68","26:0.02943644987880284;17:0.02304260659682894","26:0.02929073668040047;28:0.10678648907938582;17:0.035762692941195995","0.01806640625","Yes"
"28","198.33479480911225","201.95832408143085","0.00537109375","0.00830078125","0.00244140625","1560","0.00021576542760153248","24","0.00021576542760153248","0","0.00021576542760153248","0.00021576542760153248","27:68;29:68","29:0.00352465973929017","27:0.10678648907938582;29:0.0022821894219501038","0.00537109375","Yes"
