"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"10","276.05222721089103","226.55639655333292","0.0084228515625","0.0107421875","0.00341796875","2584","0.0002226244319409287","36","0.0002226244319409287","0","0.0002226244319409287","0.0002226244319409287","9:0.0016713123863161539;11:0.0015477944265616939","9:68;11:68","9:0.002651189860388259;11:0.0035137742936495464","0.0084228515625","Yes"
"11","295.302315306365","200.9256660526902","0.055908203125","0.108642578125","0.003173828125","2584","0.00024915035626869175","36","0.00024915035626869175","0","0.00024915035626869175","0.00024915035626869175","18:0.0017297800178244505;10:0.0015477944265616939;12:0.0011705769876420025","18:68;10:68;12:68","18:0.0012149681304731985;10:0.0035137742936495464;12:0.0012387080029491182","0.055908203125","Yes"
"12","284.1362495521376","143.97456698799513","0.0045166015625","0.007568359375","0.00146484375","2584","0.00017874106577648628","36","0.00017874106577648628","0","0.00017874106577648628","0.00017874106577648628","13:0.0016175602520574484;11:0.0011705769876420025","13:80;11:68","13:0.001625653725635945;11:0.0012387080029491182","0.0045166015625","Yes"
"13","147.86705475932362","135.20617681013357","0.0430908203125","0.02587890625","0.060302734375","2584","0.00022975924961929548","36","0.00022975924961929548","0","0.00022975924961929548","0.00022975924961929548","12:0.0016175602520574484;14:0.0011099634297040695","12:80;14:80","12:0.001625653725635945;14:0.0013216051620481006","0.0430908203125","Yes"
"14","176.33967744676963","147.7251384846784","0.0025634765625","0.004638671875","0.00048828125","2584","0.0001389372784498914","36","0.0001389372784498914","0","0.0001389372784498914","0.0001389372784498914","15:0.00155578183044075;13:0.0011099634297040695","15:68;13:80","15:0.0016959820650029322;13:0.0013216051620481006","0.0025634765625","Yes"
"15","181.86852843712182","18.36700632639244","0.021240234375","0.04052734375","0.001953125","2584","0.0002689322740261249","36","0.0002689322740261249","0","0.0002689322740261249","0.0002689322740261249","14:0.00155578183044075;19:0.0022487597194153497","14:68;19:68","14:0.0016959820650029322;19:0.0018345968352765085","0.021240234375","Yes"
"16","137.93672911079108","131.8938731486239","0.0137939453125","0.02490234375","0.002685546875","2584","0.0004816260007834107","36","0.0004816260007834107","0","0.0004816260007834107","0.0004816260007834107","23:0.003181928479168372;3:0.0024341166257104974","23:68;3:68","23:0.0016453855074036183;3:0.0012651426051405734","0.0137939453125","Yes"
"17","156.97874890810937","11.07438155183123","0.00244140625","0.00390625","0.0009765625","2584","0.00041743465300192256","36","0.00041743465300192256","0","0.00041743465300192256","0.00041743465300192256","7:0.0015408410259961924;27:0.0019710225155409045","7:68;27:68","7:0.0016822614748017717;27:0.0016816345897364138","0.00244140625","Yes"
"18","95.26026482158777","77.72673170433202","0.014892578125","0.01953125","0.01025390625","2584","0.00031272133797475394","36","0.00031272133797475394","0","0.00031272133797475394","0.00031272133797475394","11:0.0017297800178244505;31:0.0022050849619665858","11:68;31:68","11:0.0012149681304731985;31:0.0025012470034521395","0.014892578125","Yes"
"19","69.17350595712927","41.49989857054428","0.0048828125","0.008544921875","0.001220703125","2584","0.0002736345440826511","36","0.0002736345440826511","0","0.0002736345440826511","0.0002736345440826511","35:0.002377000446617844;15:0.0022487597194153497","35:80;15:68","35:0.0016490431356688817;15:0.0018345968352765085","0.0048828125","Yes"
"20","136.55053943429573","188.5761765436913","0.0045166015625","0.00830078125","0.000732421875","2584","0.00034345535192016987","36","0.00034345535192016987","0","0.00034345535192016987","0.00034345535192016987","21:0.0036292562530287897","21:68","21:0.002187409799438572","0.0045166015625","Yes"
"21","192.96561914422455","139.90530900740058","0.0040283203125","0.00439453125","0.003662109375","2584","0.00015088854086748997","36","0.00015088854086748997","0","0.00015088854086748997","0.00015088854086748997","36:0.002987818670563941;20:0.0036292562530287897;22:0.0024330541321199717","36:68;20:68;22:68","36:0.0021170694743061214;20:0.002187409799438572;22:0.0031899856236313473","0.0040283203125","Yes"
"22","183.02000139194539","34.98212933977338","0.0091552734375","0.015869140625","0.00244140625","2584","0.0002497600505472169","36","0.0002497600505472169","0","0.0002497600505472169","0.0002497600505472169","23:0.0034173411572243906;21:0.0024330541321199717","23:68;21:68","23:0.0017276444897847132;21:0.0031899856236313473","0.0091552734375","Yes"
"23","267.62834245727123","203.82054146015844","0.0618896484375","0.082275390625","0.04150390625","2584","0.0003220308121363274","36","0.0003220308121363274","0","0.0003220308121363274","0.0003220308121363274","22:0.0034173411572243906;24:0.0055572297492385014;16:0.003181928479168372","22:68;24:68;16:68","22:0.0017276444897847132;24:0.002271438710531676;16:0.0016453855074036183","0.0618896484375","Yes"
"24","160.81213895099035","83.90033597971366","0.080322265625","0.1591796875","0.00146484375","2584","0.00031284913283037335","36","0.00031284913283037335","0","0.00031284913283037335","0.00031284913283037335","23:0.0055572297492385014;25:0.003344197865642745","23:68;25:68","23:0.002271438710531676;25:0.003427792626944315","0.080322265625","Yes"
"25","145.6202921455355","55.86490774150628","0.0145263671875","0.028564453125","0.00048828125","2584","0.0005135324678877504","36","0.0005135324678877504","0","0.0005135324678877504","0.0005135324678877504","24:0.003344197865642745;26:0.01484518939477611;37:0.004672059765493036","24:68;26:68;37:68","24:0.003427792626944315;26:0.015705227062932592;37:0.007554041376074544","0.0145263671875","Yes"
"26","7.184360898437684","10.147184142138038","0.0394287109375","0.077392578125","0.00146484375","2584","0.0022777442293905217","36","0.0022777442293905217","0","0.0022777442293905217","0.0022777442293905217","25:0.01484518939477611;27:0.011258541605940642","25:68;27:68","25:0.015705227062932592;27:0.014236393755572202","0.0394287109375","Yes"
